Aikaleima (dd.mm.yyyy hh:mm);Viikko;Yhteensä;Kevyt ajoneuvo Imatra;Raskas ajoneuvo Imatra;Kevyt ajoneuvo Lpr;Raskas ajoneuvo Lpr
01.01.2021 00:00;0;137;66;4;54;13
01.01.2021 01:00;0;121;53;8;57;3
01.01.2021 02:00;0;87;40;6;37;4
01.01.2021 03:00;0;75;28;4;41;2
01.01.2021 04:00;0;64;30;2;28;4
01.01.2021 05:00;0;94;35;3;50;6
01.01.2021 06:00;0;112;57;3;50;2
01.01.2021 07:00;0;107;48;5;46;8
01.01.2021 08:00;0;96;42;7;40;7
01.01.2021 09:00;0;122;58;8;50;6
01.01.2021 10:00;0;234;101;10;108;15
01.01.2021 11:00;0;374;173;8;180;13
01.01.2021 12:00;0;533;233;7;280;13
01.01.2021 13:00;0;609;291;8;292;18
01.01.2021 14:00;0;664;324;9;314;17
01.01.2021 15:00;0;627;311;12;289;15
01.01.2021 16:00;0;591;265;7;300;19
01.01.2021 17:00;0;530;239;6;261;24
01.01.2021 18:00;0;392;179;3;198;12
01.01.2021 19:00;0;313;133;5;167;8
01.01.2021 20:00;0;280;121;8;132;19
01.01.2021 21:00;0;213;102;6;97;8
01.01.2021 22:00;0;148;69;2;73;4
01.01.2021 23:00;0;91;36;4;47;4
02.01.2021 00:00;0;59;18;4;31;6
02.01.2021 01:00;0;50;22;8;17;3
02.01.2021 02:00;0;36;16;7;11;2
02.01.2021 03:00;0;55;20;9;16;10
02.01.2021 04:00;0;54;18;9;20;7
02.01.2021 05:00;0;96;44;11;34;7
02.01.2021 06:00;0;145;76;5;47;17
02.01.2021 07:00;0;170;54;18;90;8
02.01.2021 08:00;0;207;76;18;97;16
02.01.2021 09:00;0;373;137;14;202;20
02.01.2021 10:00;0;556;218;10;305;23
02.01.2021 11:00;0;864;322;19;492;31
02.01.2021 12:00;0;1017;418;15;552;32
02.01.2021 13:00;0;991;449;21;492;29
02.01.2021 14:00;0;1013;471;7;508;27
02.01.2021 15:00;0;927;465;16;418;28
02.01.2021 16:00;0;777;362;19;379;17
02.01.2021 17:00;0;699;319;12;348;20
02.01.2021 18:00;0;481;239;11;220;11
02.01.2021 19:00;0;399;175;7;196;21
